symbol,underlying,expiration,option_type,strike,bid,ask,bid_size,ask_size,quote_ts,delta,gamma,theta,vega,implied_volatility,last_trade_price,day_volume
SPY260903C00762000,SPY,2026-09-03,call,762,8.70,9.28,117,142,2026-08-28T19:59:59Z,0.7889,0.0293,-0.2967,0.2852,0.0999,9.20,628
SPY260903C00763000,SPY,2026-09-03,call,763,7.87,8.27,78,24,2026-08-28T19:59:59Z,0.7692,0.0325,-0.2954,0.3001,0.0949,8.10,167
SPY260903C00764000,SPY,2026-09-03,call,764,7.09,7.63,82,125,2026-08-28T19:59:59Z,0.7327,0.0347,-0.3151,0.3245,0.0961,7.27,731
SPY260903C00765000,SPY,2026-09-03,call,765,6.44,6.54,31,1,2026-08-28T19:59:59Z,0.7055,0.0382,-0.3124,0.3401,0.0914,6.45,191
SPY260903C00766000,SPY,2026-09-03,call,766,5.67,5.73,5,8,2026-08-28T19:59:59Z,0.6712,0.0415,-0.3135,0.3567,0.0884,5.76,87
SPY260903C00767000,SPY,2026-09-03,call,767,5.02,5.11,9,5,2026-08-28T19:59:59Z,0.6282,0.0432,-0.3231,0.3730,0.0887,4.97,1321
SPY260903C00768000,SPY,2026-09-03,call,768,4.38,4.54,11,1,2026-08-28T19:59:59Z,0.5843,0.0446,-0.3282,0.3847,0.0886,4.75,611
SPY260903C00769000,SPY,2026-09-03,call,769,3.86,3.94,23,21,2026-08-28T19:59:59Z,0.5391,0.0455,-0.3297,0.3916,0.0885,3.77,563
SPY260903C00770000,SPY,2026-09-03,call,770,3.32,3.38,34,38,2026-08-28T19:59:59Z,0.4934,0.0462,-0.3244,0.3935,0.0875,3.20,2211
SPY260903C00771000,SPY,2026-09-03,call,771,2.79,2.80,64,25,2026-08-28T19:59:59Z,0.4459,0.0470,-0.3107,0.3899,0.0852,2.68,785
SPY260903C00772000,SPY,2026-09-03,call,772,2.26,2.37,96,8,2026-08-28T19:59:59Z,0.3975,0.0468,-0.2952,0.3805,0.0836,2.22,2443
SPY260903C00773000,SPY,2026-09-03,call,773,1.88,1.93,39,21,2026-08-28T19:59:59Z,0.3498,0.0455,-0.2778,0.3653,0.0825,1.82,1399
SPY260903C00774000,SPY,2026-09-03,call,774,1.50,1.60,44,45,2026-08-28T19:59:59Z,0.3037,0.0434,-0.2576,0.3449,0.0816,1.45,585
SPY260903C00775000,SPY,2026-09-03,call,775,1.24,1.28,53,4,2026-08-28T19:59:59Z,0.2611,0.0406,-0.2370,0.3207,0.0813,1.16,2413
SPY260903C00776000,SPY,2026-09-03,call,776,0.93,0.97,45,38,2026-08-28T19:59:59Z,0.2154,0.0376,-0.2058,0.2885,0.0788,0.91,781
SPY260903C00777000,SPY,2026-09-03,call,777,0.75,0.80,66,61,2026-08-28T19:59:59Z,0.1823,0.0337,-0.1868,0.2609,0.0796,0.70,964
SPY260903C00778000,SPY,2026-09-03,call,778,0.54,0.62,76,1,2026-08-28T19:59:59Z,0.1466,0.0298,-0.1587,0.2265,0.0782,0.53,888
SPY260903C00779000,SPY,2026-09-03,call,779,0.44,0.48,88,50,2026-08-28T19:59:59Z,0.1208,0.0259,-0.1392,0.1982,0.0787,0.43,1617
SPY260903C00780000,SPY,2026-09-03,call,780,0.28,0.35,172,55,2026-08-28T19:59:59Z,0.0905,0.0216,-0.1092,0.1608,0.0764,0.28,2155
SPY260903C00781000,SPY,2026-09-03,call,781,0.21,0.27,139,16,2026-08-28T19:59:59Z,0.0717,0.0181,-0.0917,0.1349,0.0767,0.21,751
SPY260903C00782000,SPY,2026-09-03,call,782,0.18,0.20,209,41,2026-08-28T19:59:59Z,0.0581,0.0151,-0.0786,0.1145,0.0778,0.15,1128
SPY260903C00783000,SPY,2026-09-03,call,783,0.09,0.10,197,183,2026-08-28T19:59:59Z,0.0339,0.0105,-0.0473,0.0742,0.0724,0.12,2682
SPY260903C00784000,SPY,2026-09-03,call,784,0.09,0.10,455,196,2026-08-28T19:59:59Z,0.0322,0.0095,-0.0480,0.0711,0.0768,0.08,3311
SPY260903C00785000,SPY,2026-09-03,call,785,0.03,0.08,389,214,2026-08-28T19:59:59Z,0.0204,0.0067,-0.0317,0.0486,0.0744,0.07,1491
SPY260903C00786000,SPY,2026-09-03,call,786,0.02,0.07,317,470,2026-08-28T19:59:59Z,0.0167,0.0055,-0.0273,0.0410,0.0762,0.03,1261
SPY260903C00787000,SPY,2026-09-03,call,787,0.05,0.06,621,556,2026-08-28T19:59:59Z,0.0186,0.0056,-0.0323,0.0450,0.0825,0.02,2471
SPY260903C00788000,SPY,2026-09-03,call,788,0.01,0.05,397,145,2026-08-28T19:59:59Z,0.0112,0.0037,-0.0201,0.0290,0.0796,0.03,298
SPY260904P00756000,SPY,2026-09-04,put,756,0.85,0.86,41,152,2026-08-28T19:59:59Z,-0.1330,0.0169,-0.1844,0.2289,0.1190,0.85,2747
SPY260904P00757000,SPY,2026-09-04,put,757,0.94,0.96,121,87,2026-08-28T19:59:59Z,-0.1469,0.0184,-0.1933,0.2449,0.1170,0.91,1344
SPY260904P00758000,SPY,2026-09-04,put,758,1.02,1.08,62,86,2026-08-28T19:59:59Z,-0.1617,0.0200,-0.2014,0.2610,0.1147,1.06,4512
SPY260904P00759000,SPY,2026-09-04,put,759,1.14,1.19,10,80,2026-08-28T19:59:59Z,-0.1783,0.0218,-0.2096,0.2779,0.1125,1.15,1859
SPY260904P00760000,SPY,2026-09-04,put,760,1.29,1.30,53,50,2026-08-28T19:59:59Z,-0.1968,0.0236,-0.2177,0.2954,0.1104,1.33,27538
SPY260904P00761000,SPY,2026-09-04,put,761,1.45,1.51,54,50,2026-08-28T19:59:59Z,-0.2197,0.0254,-0.2295,0.3152,0.1095,1.50,4061
SPY260904P00762000,SPY,2026-09-04,put,762,1.65,1.68,111,55,2026-08-28T19:59:59Z,-0.2431,0.0272,-0.2383,0.3335,0.1079,1.69,2488
SPY260904P00763000,SPY,2026-09-04,put,763,1.87,1.90,100,27,2026-08-28T19:59:59Z,-0.2692,0.0290,-0.2474,0.3518,0.1067,1.86,1814
SPY260904P00764000,SPY,2026-09-04,put,764,2.08,2.10,57,51,2026-08-28T19:59:59Z,-0.2954,0.0310,-0.2516,0.3678,0.1044,2.13,1463
SPY260904P00765000,SPY,2026-09-04,put,765,2.35,2.36,76,37,2026-08-28T19:59:59Z,-0.3253,0.0328,-0.2574,0.3836,0.1031,2.37,32165
SPY260904P00766000,SPY,2026-09-04,put,766,2.69,2.73,83,39,2026-08-28T19:59:59Z,-0.3591,0.0340,-0.2662,0.3983,0.1033,2.69,3127
SPY260904P00767000,SPY,2026-09-04,put,767,2.93,2.96,5,24,2026-08-28T19:59:59Z,-0.3902,0.0361,-0.2611,0.4088,0.0997,3.00,1992
SPY260904P00768000,SPY,2026-09-04,put,768,3.27,3.36,154,43,2026-08-28T19:59:59Z,-0.4261,0.0373,-0.2616,0.4177,0.0987,3.39,6438
SPY260904P00769000,SPY,2026-09-04,put,769,3.71,3.74,76,46,2026-08-28T19:59:59Z,-0.4634,0.0381,-0.2597,0.4233,0.0977,3.77,3621
SPY260904P00770000,SPY,2026-09-04,put,770,4.22,4.27,77,47,2026-08-28T19:59:59Z,-0.5016,0.0380,-0.2603,0.4250,0.0985,4.30,28762
SPY260904P00771000,SPY,2026-09-04,put,771,4.54,4.77,76,43,2026-08-28T19:59:59Z,-0.5408,0.0389,-0.2475,0.4228,0.0958,4.79,4740
SPY260904P00772000,SPY,2026-09-04,put,772,4.99,5.49,188,147,2026-08-28T19:59:59Z,-0.5789,0.0381,-0.2417,0.4167,0.0963,5.22,9141
SPY260904P00773000,SPY,2026-09-04,put,773,5.61,6.03,259,175,2026-08-28T19:59:59Z,-0.6172,0.0374,-0.2302,0.4066,0.0957,5.81,7221
SPY260904P00774000,SPY,2026-09-04,put,774,6.02,6.77,39,32,2026-08-28T19:59:59Z,-0.6564,0.0367,-0.2125,0.3919,0.0940,6.36,6078
QQQ260903C00710000,QQQ,2026-09-03,call,710,9.35,9.46,9,2,2026-08-28T19:59:59Z,0.6912,0.0257,-0.4497,0.3234,0.1490,9.34,53
QQQ260903C00711000,QQQ,2026-09-03,call,711,8.38,8.66,4,6,2026-08-28T19:59:59Z,0.6715,0.0276,-0.4413,0.3320,0.1425,8.43,14
QQQ260903C00712000,QQQ,2026-09-03,call,712,7.79,7.91,3,3,2026-08-28T19:59:59Z,0.6437,0.0286,-0.4500,0.3423,0.1420,7.76,16
QQQ260903C00713000,QQQ,2026-09-03,call,713,7.19,7.29,2,1,2026-08-28T19:59:59Z,0.6144,0.0293,-0.4595,0.3512,0.1423,7.08,133
QQQ260903C00714000,QQQ,2026-09-03,call,714,6.40,6.56,3,5,2026-08-28T19:59:59Z,0.5873,0.0308,-0.4512,0.3576,0.1376,6.68,213
